,29.71,⸮9⸮8817.00
-412.10,28.23,10364
-406.01,29.91,10377
-409.61,32.40,10388
-411.77,31.94,10400
-405.13,30.50,10412
-409.27,29.19,10424
-410.84,28.84,10435
-410.83,28.58,10447
-411.23,30.26,10459
-404.80,32.20,10470
-406.31,31.55,10482
-412.21,30.18,10493
-412.88,29.66,10506
-411.12,28.52,10517
-406.27,28.82,10529
-409.92,30.90,10541
-412.52,32.50,10553
-405.55,31.02,10564
-408.37,29.91,10576
-411.71,28.66,10588
-412.61,28.59,10600
-411.58,28.77,10611
-411.01,31.53,10624
-405.37,32.52,10635
-406.70,31.40,10646
-412.15,29.94,10658
-411.40,28.76,10670
-409.31,27.89,10682
-409.63,29.14,10693
-410.49,31.43,10705
-410.26,32.29,10717
-405.26,30.68,10729
-407.18,29.83,10740
-411.62,28.67,10753
-413.22,28.45,10764
-410.83,29.55,10776
-408.47,32.01,10787
-408.69,31.67,10799
-408.08,30.17,10811
-410.36,29.36,10822
-411.07,28.48,10834
-408.52,28.68,10846
-412.81,30.40,10858
-409.31,32.45,10869
-403.61,31.83,10882
-409.32,30.12,10893
-414.42,29.18,10905
-409.89,28.43,10916
-411.31,28.45,10929
-409.47,30.80,10940
-407.92,32.41,10952
-407.35,31.48,10963
-411.69,30.08,10975
-408.74,29.28,10987
-410.47,28.48,10998
-409.53,29.15,11011
-409.68,31.45,11022
-408.83,32.15,11034
-405.60,30.94,11045
-408.36,29.17,11058
-412.30,28.77,11069
-412.86,28.11,11081
-409.31,29.57,11092
-408.72,31.92,11105
-408.42,32.64,11116
-406.05,30.74,11128
-410.00,29.57,11140
-411.10,28.60,11151
-411.35,28.28,11163
-411.16,29.55,11174
-410.45,31.79,11187
-408.28,32.08,11198
-405.47,30.45,11210
-408.72,29.54,11222
-413.85,28.56,11234
-407.15,28.49,11245
-409.49,30.35,11257
-410.05,32.46,11269
-408.03,31.74,11281
-407.63,30.19,11292
-412.48,28.85,11304
-410.73,28.41,11316
-411.96,28.72,11327
-408.68,30.65,11339
-408.80,32.70,11351
-403.86,31.53,11363
-411.39,30.21,11374
-412.25,29.22,11386
-410.77,28.26,11398
-408.90,28.60,11410
-412.56,31.03,11421
-407.97,32.11,11433
-407.08,30.68,11445
-408.51,29.90,11457
-411.25,28.56,11468
-411.80,28.56,11481
-411.09,29.09,11492
-407.90,31.50,11503
-411.07,32.21,11515
-404.78,30.49,11527
-409.34,29.65,11539
-412.99,28.88,11550
-410.62,28.35,11563
-409.10,29.78,11574
-412.63,31.69,11586
-407.84,31.85,11597
-406.03,30.08,11610
-412.27,29.39,11621
-411.87,28.47,11633
-409.32,28.72,11644
-407.55,30.40,11657
-410.00,32.52,11668
-405.36,32.04,11679
-410.98,30.34,11692
-410.40,29.04,11703
-411.49,28.01,11715
-411.54,28.17,11726
-412.50,30.44,11739
-406.44,32.35,11750
-407.17,31.60,11762
-407.68,30.23,11773
-411.70,29.23,11786
-411.22,28.42,11797
-408.71,28.99,11809
-409.59,31.04,11821
-410.14,32.45,11832
-404.60,30.74,11844
-411.21,29.36,11855
-410.47,28.58,11868
-412.18,28.16,11879
-409.68,29.43,11891
-412.20,32.07,11902
-405.87,32.65,11915
-406.59,31.05,11926
-407.43,29.67,11938
-412.04,28.72,11950
-411.79,28.12,11962
-409.95,29.15,11973
-409.38,31.49,11985
-410.42,31.52,11997
-410.40,30.41,12008
-410.92,29.77,12020
-410.57,29.16,12032
-408.63,28.97,12044
-411.14,30.51,12055
-408.15,32.22,12067
-406.10,31.17,12079
-410.32,29.88,12091
-412.04,28.54,12102
-412.52,28.16,12114
-411.02,28.15,12126
-408.60,30.77,12138
-408.35,32.54,12149
-407.46,31.68,12162
-406.28,30.59,12173
-408.36,29.10,12184
-413.36,28.81,12196
-409.39,28.77,12208
-408.84,30.90,12220
-409.81,31.72,12231
-406.02,30.44,12243
-408.75,29.30,12255
-414.82,28.80,12267
-411.32,28.75,12278
-408.26,29.80,12291
-410.72,32.50,12302
-409.17,32.73,12314
-405.34,31.15,12325
-408.59,29.58,12338
-411.66,28.23,12349
-412.19,27.79,12360
-411.91,29.08,12372
-409.99,31.97,12384
-404.95,31.90,12396
-411.88,30.92,12407
-410.50,29.59,12420
-411.75,28.99,12431
-408.60,28.59,12443
-410.87,30.35,12454
-411.02,32.34,12467
-407.01,31.64,12478
-406.43,30.19,12490
-409.89,28.83,12502
-413.65,28.35,12514
-412.60,28.16,12525
-408.38,30.63,12536
-408.43,32.62,12549
-406.68,31.76,12560
-409.58,30.55,12572
-409.83,29.20,12583
-410.95,28.63,12596
-410.89,28.51,12607
-409.54,30.67,12619
-412.05,31.68,12631
-407.15,30.52,12643
-405.79,29.42,12654
-413.42,29.21,12666
-412.45,28.97,12678
-407.64,29.89,12689
-410.09,31.93,12701
-408.29,32.38,12712
-404.87,30.60,12725
-409.86,29.14,12736
-413.14,28.24,12748
-409.96,27.82,12760
-410.52,29.41,12772
-410.18,31.86,12783
-405.83,32.13,12795
-407.05,30.77,12807
-411.39,29.62,12819
-412.87,28.91,12830
-409.32,28.34,12843
-411.24,30.21,12854
-408.83,32.11,12865
-405.97,31.78,12877
-409.80,30.12,12889
-411.35,28.85,12901
-409.87,28.48,12912
-411.84,28.49,12924
-411.02,30.79,12936
-408.26,32.68,12948
-406.37,31.47,12959
-407.90,30.24,12972
-409.70,28.97,12983
-412.94,28.53,12995
-412.40,28.77,13006
-407.04,31.14,13019
-410.35,32.54,13030
-407.15,31.17,13041
-408.37,29.85,13053
-413.60,29.00,13065
-409.31,28.38,13077
-407.63,29.68,13088
-411.66,31.67,13101
-410.88,32.51,13112
-403.62,30.82,13124
-407.90,29.68,13135
-411.70,28.70,13148
-412.71,28.07,13159
-409.14,29.46,13171
-407.68,31.80,13182
-409.03,32.24,13194
-407.73,30.69,13206
-410.85,29.86,13217
-410.02,28.81,13230
-409.24,28.58,13241
-412.55,30.05,13253
-409.73,31.91,13264
-404.69,31.52,13277
-408.07,30.01,13288
-411.95,29.10,13300
-412.48,28.65,13312
-409.92,28.68,13324
-409.26,30.63,13335
-408.92,32.65,13347
-407.74,31.55,13359
-410.29,29.97,13370
-408.90,29.00,13382
-410.86,28.15,13393
-411.24,28.93,13406
-412.00,31.04,13417
-408.56,32.46,13429
-404.30,30.87,13441
-408.69,29.82,13453
-411.97,28.98,13464
-413.01,28.28,13476
-409.62,29.40,13488
-406.37,31.45,13500
-408.78,32.75,13511
-407.97,30.55,13523
-407.64,29.51,13535
-410.38,28.16,13546
-410.40,28.20,13558
-411.33,29.45,13570
-409.10,31.87,13582
-403.07,32.52,13593
-409.50,30.87,13605
-412.76,30.00,13617
-409.93,28.76,13629
-410.77,28.25,13640
-409.49,29.87,13652
-409.02,32.01,13664
-409.16,31.79,13676
-407.29,30.26,13687
-408.44,29.22,13700
-412.71,28.54,13711
-411.67,28.63,13722
-408.69,30.52,13734
-409.31,32.23,13746
-403.28,31.58,13758
-408.93,30.04,13769
-415.05,29.31,13782
-408.54,28.42,13793
-407.46,28.95,13805
-412.62,31.01,13816
-409.37,32.17,13829
-408.79,30.77,13840
-407.13,29.36,13852
-409.81,28.70,13863
-413.40,28.33,13876
-411.79,29.47,13887
-408.64,31.67,13898
-409.70,32.75,13911
-404.89,30.96,13922
-410.41,29.59,13934
-409.24,28.65,13945
-409.15,27.78,13958
-413.10,29.57,13969
-410.51,31.62,13981
-407.92,32.11,13992
-405.86,30.72,14005
-409.34,29.68,14016
-415.46,28.94,14028
-409.87,28.50,14040
-408.56,29.86,14051
-407.80,32.07,14063
-405.94,31.77,14074
-410.76,29.91,14087
-413.24,29.16,14098
-408.71,28.08,14110
-410.25,28.30,14121
-410.89,30.91,14134
-410.28,32.90,14145
-406.18,32.21,14157
-405.93,30.22,14169
-412.11,28.89,14181
-414.64,28.00,14192
-410.08,28.48,14204
-409.02,30.44,14216
-408.26,32.23,14227
-407.63,31.04,14239
-408.04,29.85,14251
-411.20,29.26,14263
-411.55,28.44,14274
-410.25,29.42,14286
-411.51,31.29,14298
-409.25,32.19,14310
-405.48,30.09,14321
-414.64,29.44,14333
-411.88,28.25,14345
-409.25,28.10,14357
-412.61,29.46,14368
-408.01,32.00,14381
-406.14,32.81,14392
-408.70,31.08,14403
-409.56,29.99,14415
-411.39,28.83,14427
-412.50,27.95,14439
-408.00,29.54,14450
-410.68,31.42,14462
-409.55,31.56,14474
-407.12,29.87,14486
-411.04,29.51,14497
-412.74,28.71,14510
-408.59,29.31,14521
-409.84,31.13,14533
-412.35,32.89,14544
-403.89,31.71,14557
-406.54,29.63,14568
-413.31,28.33,14579
-413.94,27.86,14592
-409.77,28.17,14603
-410.68,30.68,14615
-409.62,32.80,14626
-406.04,31.70,14639
-407.00,30.66,14650
-410.49,29.35,14662
-409.31,28.50,14673
-410.53,29.16,14686
-411.11,31.07,14697
-409.46,32.17,14709
