495.74,7745
176.44,1494.65,19261
177.60,1494.20,19273
178.42,1494.89,19284
177.19,1496.30,19297
177.16,1497.21,19308
179.70,1497.22,19320
178.54,1496.43,19332
174.72,1494.64,19344
176.86,1494.15,19355
177.91,1493.53,19367
179.29,1494.96,19379
178.26,1494.43,19391
176.75,1494.32,19402
178.42,1494.30,19415
177.30,1494.59,19426
177.42,1493.37,19438
176.98,1494.55,19449
178.60,1496.52,19462
176.59,1496.49,19473
178.52,1496.68,19484
179.67,1496.42,19496
174.67,1495.19,19508
176.78,1494.97,19520
179.01,1494.97,19531
176.83,1495.87,19544
177.79,1494.74,19555
178.19,1494.78,19567
178.39,1494.42,19578
177.74,1494.24,19591
177.24,1493.37,19602
176.60,1494.23,19614
176.21,1496.27,19625
180.57,1495.89,19638
178.14,1496.72,19649
176.90,1494.98,19661
178.13,1494.25,19673
178.55,1493.23,19685
178.05,1493.83,19696
177.94,1495.21,19708
176.50,1495.04,19720
178.86,1495.78,19732
180.02,1494.34,19743
175.74,1494.32,19756
176.47,1493.44,19767
177.32,1494.08,19779
179.25,1496.05,19790
178.16,1496.53,19803
178.15,1496.61,19814
178.33,1495.02,19826
175.31,1494.38,19837
178.30,1492.96,19850
178.27,1492.88,19861
177.01,1494.80,19873
178.16,1494.82,19885
177.73,1495.54,19897
179.38,1494.03,19908
178.53,1493.87,19920
174.87,1492.17,19932
178.22,1493.89,19943
177.79,1494.92,19955
177.67,1496.87,19966
178.77,1497.42,19979
178.31,1497.02,19990
176.89,1495.93,20002
177.06,1494.23,20014
177.53,1494.12,20026
176.73,1494.84,20037
179.35,1495.52,20049
177.18,1495.92,20061
177.86,1495.21,20073
175.37,1494.74,20084
177.26,1493.75,20097
177.19,1493.45,20108
178.25,1494.51,20120
178.79,1495.82,20131
176.39,1496.38,20144
179.27,1495.38,20155
176.87,1495.73,20167
175.97,1494.25,20178
178.18,1494.43,20191
177.55,1495.45,20202
177.31,1495.69,20214
178.69,1495.75,20226
179.06,1495.31,20238
176.76,1496.50,20249
176.71,1494.47,20261
176.98,1494.49,20273
177.52,1495.50,20285
179.01,1496.48,20296
176.96,1495.68,20308
178.18,1495.38,20320
179.03,1494.01,20332
